acc	Symbol	logFC_NtoIS	logFC_IStoC	logFC_CtoI	logFC_ItoA	adjPVal_NtoIS	adjPVal_IStoC	adjPVal_CtoI	adjPVal_ItoA
P98095	FBLN2	0.429262	0.0986152	-0.0499276	0.0346345	9.67E-06	0.131388	0.447669	0.568591
Q9Y5Y6	ST14	0.300628	-0.0178312	-0.00927288	0.0231402	0.0019564	0.807281	0.90727	0.709981
Q12816	TRO	0.275286	-0.0120246	-0.0288088	-0.0203116	0.00539337	0.878277	0.690015	0.756057
Q9Y6R7	FCGBP	0.483154	-0.103883	0.0614533	-0.0805175	0.00539337	0.302643	0.567001	0.38352
P13688	CEACAM1	0.336288	-0.0177077	0.0885532	-0.0693427	0.00706036	0.851008	0.243453	0.306918
Q16643	DBN1	0.384384	0.0479083	-0.0750308	0.0233149	0.00706036	0.610561	0.402997	0.797356
Q8WXF7	SPG3A	0.202877	0.153415	-0.181636	0.0629387	0.00706036	0.0147287	0.00329735	0.21692
Q96B33	CLDN23	0.26246	-0.0204987	-0.0615596	0.0252984	0.00785478	0.800793	0.393756	0.721425
P24347	MMP11	0.307872	-0.0273922	-0.0147463	-0.05881	0.00966382	0.75233	0.879795	0.416054
Q16612	C5orf13	0.290466	0.0889832	-0.0335664	0.00153818	0.0111428	0.194337	0.643661	0.983017
Q96SM3	CPXM	0.405278	-0.0599229	-0.0672155	-0.116719	0.0111428	0.641314	0.609392	0.291743
P13688	CEACAM1	0.12815	0.0164775	0.0357915	0.0135174	0.012084	0.701949	0.375258	0.738022
Q7Z7L9	ZSCAN2	0.24132	0.0159324	-0.0920368	0.0843263	0.012084	0.827309	0.13431	0.129609
Q8N158	GPC2	0.283407	-0.121938	-0.0384291	0.0597536	0.0142469	0.167274	0.689933	0.448823
P23510	TNFSF4	0.332785	-0.0673315	-0.149665	0.0876651	0.0147177	0.552899	0.135794	0.338117
Q9P2Y4	ZNF219	0.198818	-0.0522846	-0.102712	0.0638273	0.0187221	0.378747	0.0715566	0.217354
Q8IZS7	DCAL1	0.216076	0.0975706	-0.0163846	0.0332333	0.0277284	0.0898889	0.79683	0.51258
O14713	ITGB1BP1	-0.123706	0.0705391	-0.0277644	0.0298093	0.028066	0.063633	0.468118	0.374401
Q6ZT07	TBC1D9	0.316133	-0.021777	0.042031	-0.00685563	0.028066	0.834228	0.659973	0.939743
Q99536	VAT1	0.172105	-0.14355	0.0586368	-0.0629061	0.0284385	0.012804	0.263296	0.175166
O15535	ZNF193	0.183901	0.027207	-0.0248086	-0.00966153	0.0298117	0.629904	0.668206	0.859145
Q9UM22	EPDR1	0.265152	0.0481089	0.0558404	-0.000085775	0.0299522	0.579443	0.497623	0.998936
Q9Y5A6	ZNF38	0.107649	0.0649278	-0.0732718	0.0129933	0.0311905	0.0643456	0.0315626	0.704917
O43157	PLXNB1	0.2958	-0.0613498	-0.0439168	0.0273194	0.0324954	0.54578	0.688558	0.783641
P24385	CCND1	0.558163	-0.0569226	-0.0715579	0.0477867	0.0324954	0.697524	0.645231	0.742077
Q15583	TGIF1	0.259776	-0.0479979	0.041342	-0.0765344	0.0324954	0.54988	0.612365	0.256948
Q6ZVH7	ESPNL	0.346888	0.0455977	-0.0254801	-0.0636128	0.0324954	0.701473	0.842317	0.532898
Q96P20	CIAS1	0.331465	-0.128469	-0.084025	0.0978662	0.032682	0.26246	0.485621	0.346514
Q2T9K0	TMEM44	0.209892	-0.100218	0.178112	-0.20011	0.035122	0.169063	0.0144222	0.00325431
